74956231081
11,7,1,5,13,3,9,15,17,4,6,10,8,14,0,2,12,16
9,7,1,3,5,13,15,11,17,4,14,0,2,10,6,8,12,16
11,1,3,9,13,5,15,7,17,4,6,2,0,14,12,10,8,16
12,8,14,10,2,0,4,6,16,11,5,3,1,9,7,15,13,17
2,14,12,10,6,8,4,0,16,13,1,11,7,9,3,15,5,17
3,1,11,15,9,7,5,13,17,2,14,12,8,0,6,4,10,16
8,12,10,6,0,2,4,14,16,7,13,15,3,11,1,5,9,17
3,15,1,9,13,5,11,7,17,0,14,2,4,6,12,8,10,16
1,7,11,3,5,15,9,13,17,10,12,4,0,14,2,6,8,16
13,9,5,7,11,15,3,1,17,0,4,12,2,14,10,8,6,16
0,0,1,-1,-1,0,0,-1,-1,0,-1,1,0,0,-1,1,1,-1,1,-1,1,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0
-1,1,0,0,0,0,0,1,1,-1,0,-1,-1,1,0,0,1,0,-1,0,0,-1,0,-1,1,0,1,-1,-1,-1,-1,1,1,0,1,-1
1,-1,0,1,0,-1,1,0,-1,-1,1,1,0,1,-1,0,-1,1,-1,0,0,-1,0,1,-1,-1,0,1,1,0,0,-1,-1,-1,-1,0
-1,1,1,-1,-1,0,-1,-1,0,1,1,0,1,-1,-1,-1,1,-1,0,1,1,0,1,-1,0,1,1,-1,0,-1,0,1,-1,1,1,-1
0,1,-1,0,0,-1,-1,-1,0,1,-1,1,-1,-1,1,0,0,-1,-1,-1,1,1,0,0,-1,0,-1,1,1,0,-1,-1,0,0,1,1
-1,0,1,0,-1,-1,0,-1,1,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,1,0,1,1,0,0,1,1,-1,0
1,0,-1,0,-1,0,1,1,-1,0,0,0,-1,0,1,0,-1,-1,0,-1,1,0,1,-1,-1,-1,1,1,0,-1,0,0,1,-1,0,0
1,1,1,1,-1,0,-1,1,0,-1,1,0,1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1
0,0,-1,1,1,-1,-1,1,0,0,0,1,-1,-1,0,0,0,1,1,0,-1,-1,-1,1,1,1,-1,1,0,1,-1,-1,1,0,1,0
1,1,-1,0,-1,1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,0,1,1,-1,0,-1,0,-1,-1,-1,1,-1,0,1,0,0,-1,1,0
